Fecha,precio_eth,precio_eth_log,volumen_eth,volumen_eth_log,precio_nasdaq,precio_nasdaq_log,volumen_nasdaq,volumen_nasdaq_log
2015-09-08 0:00:00,"1,236","0,212","419.148,80","12,95","4.811,93","8,48","1.765.600.000,00","21,29175641"
2015-09-09 0:00:00,"1,207","0,188","367.774,33","12,82","4.756,53","8,47","1.963.750.000,00","21,39812175"
2015-09-10 0:00:00,"1,167","0,155","639.527,92","13,37","4.796,25","8,48","1.845.770.000,00","21,33616237"
2015-09-11 0:00:00,"0,977","-0,024","1.901.710,70","14,46","4.822,34","8,48","1.686.190.000,00","21,24573738"
2015-09-14 0:00:00,"0,874","-0,135","739.213,73","13,51","4.805,76","8,48","1.467.740.000,00","21,10698964"
2015-09-15 0:00:00,"0,942","-0,060","725.816,47","13,50","4.860,52","8,49","1.587.460.000,00","21,18540109"
2015-09-16 0:00:00,"0,903","-0,102","629.370,08","13,35","4.889,24","8,49","1.666.380.000,00","21,23391945"
2015-09-17 0:00:00,"0,883","-0,124","910.704,95","13,72","4.893,95","8,50","1.891.510.000,00","21,36064129"
2015-09-18 0:00:00,"0,846","-0,167","478.606,40","13,08","4.827,23","8,48","3.272.150.000,00","21,9087131"
2015-09-21 0:00:00,"0,901","-0,104","429.253,50","12,97","4.828,95","8,48","2.021.530.000,00","21,42712049"
2015-09-22 0:00:00,"0,897","-0,109","485.738,96","13,09","4.756,72","8,47","2.042.880.000,00","21,43762641"
2015-09-23 0:00:00,"0,894","-0,112","204.065,41","12,23","4.752,74","8,47","1.606.330.000,00","21,19721791"
2015-09-24 0:00:00,"0,816","-0,203","818.263,07","13,61","4.734,48","8,46","1.995.820.000,00","21,41432083"
2015-09-25 0:00:00,"0,741","-0,300","901.151,62","13,71","4.686,50","8,45","2.050.530.000,00","21,44136413"
2015-09-28 0:00:00,"0,583","-0,539","1.214.056,21","14,01","4.543,97","8,42","2.387.610.000,00","21,5935587"
2015-09-29 0:00:00,"0,658","-0,419","936.630,33","13,75","4.517,32","8,42","2.293.450.000,00","21,55332307"
2015-09-30 0:00:00,"0,735","-0,308","640.217,62","13,37","4.620,16","8,44","2.398.350.000,00","21,59804684"
2015-10-01 0:00:00,"0,686","-0,377","588.839,78","13,29","4.627,08","8,44","2.133.990.000,00","21,4812593"
2015-10-02 0:00:00,"0,676","-0,391","220.969,49","12,31","4.707,78","8,46","2.183.320.000,00","21,50411249"
2015-10-05 0:00:00,"0,628","-0,465","221.647,21","12,31","4.781,26","8,47","2.005.320.000,00","21,41906949"
2015-10-06 0:00:00,"0,646","-0,437","268.523,04","12,50","4.748,36","8,47","2.085.020.000,00","21,45804428"
2015-10-07 0:00:00,"0,610","-0,494","216.715,51","12,29","4.791,15","8,47","2.149.890.000,00","21,48868251"
2015-10-08 0:00:00,"0,623","-0,472","310.876,14","12,65","4.810,79","8,48","1.984.230.000,00","21,40849677"
2015-10-09 0:00:00,"0,651","-0,430","379.233,12","12,85","4.830,47","8,48","1.804.260.000,00","21,31341637"
2015-10-12 0:00:00,"0,629","-0,464","108.895,53","11,60","4.838,64","8,48","1.343.820.000,00","21,01878214"
2015-10-13 0:00:00,"0,603","-0,506","297.117,08","12,60","4.796,61","8,48","1.565.060.000,00","21,17119"
2015-10-14 0:00:00,"0,518","-0,658","944.847,80","13,76","4.782,85","8,47","1.902.460.000,00","21,36641362"
2015-10-15 0:00:00,"0,561","-0,577","376.563,07","12,84","4.870,10","8,49","1.942.900.000,00","21,38744754"
2015-10-16 0:00:00,"0,533","-0,629","247.071,25","12,42","4.886,69","8,49","1.855.290.000,00","21,34130686"
2015-10-19 0:00:00,"0,487","-0,719","240.250,38","12,39","4.905,47","8,50","1.619.920.000,00","21,2056426"
2015-10-20 0:00:00,"0,433","-0,837","352.361,06","12,77","4.880,97","8,49","1.711.700.000,00","21,26075287"
2015-10-21 0:00:00,"0,440","-0,822","599.041,01","13,30","4.840,12","8,48","1.895.390.000,00","21,36269046"
2015-10-22 0:00:00,"0,565","-0,570","979.304,07","13,79","4.920,05","8,50","2.156.040.000,00","21,49153904"
2015-10-23 0:00:00,"0,541","-0,615","866.798,49","13,67","5.031,86","8,52","2.178.270.000,00","21,50179682"
2015-10-26 0:00:00,"0,744","-0,296","1.174.026,82","13,98","5.034,70","8,52","1.758.690.000,00","21,28783505"
2015-10-27 0:00:00,"0,854","-0,157","1.887.568,91","14,45","5.030,15","8,52","1.986.840.000,00","21,40981127"
